author,title,date,station,url,mp3_url,story_id
Тим Скоренко,Господин Одиночество (Часть 2),2013-04-10,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1632&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/263_Tim_Skorenko_-_Gospodin_Odinochestvo_(Chast_2).mp3,1632
Юрий и Татьяна Бурносовы,Светлый путь,2013-04-17,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1633&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/264_Yurii_i_Tatyana_Burnosovy_-_Svetlyi_put.mp3,1633
Ник Перумов,Испытано на себе (Часть 1),2013-04-24,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1634&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/265_Nik_Perumov_-_Ispytano_na_sebe_(Chast_1).mp3,1634
Ярослав Веров,Прижизненная слава,2013-04-28,Научная педагогическая библиотека имени К. Д. Ушинского,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1350&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/2013/04/02_Yaroslav_Verov_-_Prizhiznennaya_slava.mp3,1350
Эдгар По,Падение дома Ашеров,2013-04-28,Научная педагогическая библиотека имени К. Д. Ушинского,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1349&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/2013/04/01_Edgar_Po_-_Gibel_Esherova_doma.mp3,1349
Ник Перумов,Испытано на себе (Часть 2),2013-05-01,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1635&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/266_Nik_Perumov_-_Ispytano_na_sebe_(Chast_2).mp3,1635
Артур Конан Дойль,Динамитный вечер накануне рождества (Часть 1),2013-05-08,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1636&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/267_Artur_Konan_Doil_-_Dinamitnyi_vecher_nakanune_rozhdestva_(Chast_1).mp3,1636
Артур Конан Дойль,Динамитный вечер накануне рождества (Часть 2),2013-05-10,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1637&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/268_Artur_Konan_Doil_-_Dinamitnyi_vecher_nakanune_rozhdestva_(Chast_2).mp3,1637
Редьярд Киплинг,Поцелуй фей (Часть 1),2013-05-15,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1638&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/269_Redyard_Kipling_-_Pocelui_fei_(Chast_1).mp3,1638
Редьярд Киплинг,Поцелуй фей (Часть 2),2013-05-22,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1639&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/270_Redyard_Kipling_-_Pocelui_fei_(Chast_2).mp3,1639
Бертрам Флетчер Робинсон,Битва у моста через ручей (Часть 1),2013-05-29,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1640&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/271_Bertram_Fletcher_Robinson_-_Bitva_u_mosta_cherez_ruchei_(Chast_1).mp3,1640
